Name,Alias(es),Type,Raw or %,Effect,Additional Info
❤ Health,,Stat,Raw,Increases Max Health by a fixed amount. The version that's on Armor and Accessories with the hp symbol.,
✤ Earth Defence,,Stat,Raw,"Increases Earth Defense by a fixed amount. 
Elemental defenses reduce damage of that element by a fixed amount, affected by (mob or player) spell multiplier, and if the damage is from a player, attack speed multiplier as well. Check Additional Info.",soon
✦ Thunder Defence,,Stat,Raw,"Increases Thunder Defense by a fixed amount.
Elemental defenses reduce damage of that element by a fixed amount, affected by (mob or player) spell multiplier, and if the damage is from a player, attack speed multiplier as well. Check Additional Info.",soon
❉ Water Defence,,Stat,Raw,"Increases Water Defense by a fixed amount.
Elemental defenses reduce damage of that element by a fixed amount, affected by (mob or player) spell multiplier, and if the damage is from a player, attack speed multiplier as well. Check Additional Info.",soon
✹ Fire Defence,,Stat,Raw,"Increases Fire Defense by a fixed amount.
Elemental defenses reduce damage of that element by a fixed amount, affected by (mob or player) spell multiplier, and if the damage is from a player, attack speed multiplier as well. Check Additional Info.",soon
❋ Air Defence,,Stat,Raw,"Increases Air Defense by a fixed amount.
Elemental defenses reduce damage of that element by a fixed amount, affected by (mob or player) spell multiplier, and if the damage is from a player, attack speed multiplier as well. Check Additional Info.",soon
Strength,,ID & Stat,Raw,"Increases final damage by a %, also working on poison. Works additively with Dex. Has the usual elemental damage% bonus (shared effectiveness %). Check Additional Info.",soon
Dexterity,,ID & Stat,Raw,"Chance to do double (+100%) final damage. Works additively with Str, doesn't work on poison. Has the usual elemental damage% bonus (shared effectiveness %). Check Additional Info.",soon
Intelligence,,ID & Stat,Raw,"Reduces spell cost. Cost is rounded up after int is applied, so it only makes a difference at thresholds. Excess int is wasted, so ""rounding down"" your int to the nearest lower threshold is necessary. Has the usual elemental damage% bonus (shared effectiveness %), this water damage% does not affect healing. Check Additional Info.",soon
Defence,,ID & Stat,Raw,"Reduces damage by a %. Doesn't work on true damage (true damage attacks, poison, negative eledef damage). Has the usual elemental damage% bonus (shared effectiveness %). Check Additional Info.",soon
Agility,,ID & Stat,Raw,Chance to dodge damage. Doesn't work on true damage attacks. Has the usual elemental damage% bonus (shared effectiveness %). Check Additional Info.,soon
✣ Neutral Damage,,Stat,Raw,Damage. Yep.,
✤ Earth Damage,,Stat,Raw,"Acts like Neutral Damage, but benefits from Earth Damage % and is affected by Earth Defense.",
✦ Thunder Damage,,Stat,Raw,"Acts like Neutral Damage, but benefits from Thunder Damage % and is affected by Thunder Defense.",
❉ Water Damage,,Stat,Raw,"Acts like Neutral Damage, but benefits from Water Damage % and is affected by Water Defense.",
✹ Fire Damage,,Stat,Raw,"Acts like Neutral Damage, but benefits from Fire Damage % and is affected by Fire Defense.",
❋ Air Damage,,Stat,Raw,"Acts like Neutral Damage, but benefits from Air Damage % and is affected by Air Defense.",
Attack Speed,,Stat,Raw,How fast (or slow) the weapon attacks. Check Additional Info.,soon
